seqid,source,type,start,end,score,strand,phase,attributes
1A,IWGSC,gene,5521573.0,5527792.0,.,-,.,ID=gene:TraesCS1A02G009320;biotype=protein_coding;gene_id=TraesCS1A02G009320;logic_name=iwgsc_high_conf
1A,IWGSC,gene,5645211.0,5650510.0,.,-,.,ID=gene:TraesCS1A02G009400;biotype=protein_coding;gene_id=TraesCS1A02G009400;logic_name=iwgsc_high_conf
1A,IWGSC,gene,6007940.0,6012646.0,.,-,.,ID=gene:TraesCS1A02G009600;biotype=protein_coding;gene_id=TraesCS1A02G009600;logic_name=iwgsc_high_conf
1A,IWGSC,gene,6151748.0,6159140.0,.,+,.,ID=gene:TraesCS1A02G009900;Name=Yr10;biotype=protein_coding;gene_id=TraesCS1A02G009900;logic_name=iwgsc_high_conf
1A,IWGSC,gene,6332192.0,6336859.0,.,+,.,ID=gene:TraesCS1A02G010300;biotype=protein_coding;gene_id=TraesCS1A02G010300;logic_name=iwgsc_high_conf
1A,IWGSC,gene,6336481.0,6345966.0,.,-,.,ID=gene:TraesCS1A02G010400;biotype=protein_coding;gene_id=TraesCS1A02G010400;logic_name=iwgsc_high_conf
1A,IWGSC,gene,6765240.0,6765452.0,.,-,.,ID=gene:TraesCS1A02G011500;biotype=protein_coding;gene_id=TraesCS1A02G011500;logic_name=iwgsc_high_conf
1A,IWGSC,gene,7100687.0,7101431.0,.,-,.,ID=gene:TraesCS1A02G012200;biotype=protein_coding;gene_id=TraesCS1A02G012200;logic_name=iwgsc_high_conf
1A,IWGSC,gene,8238257.0,8239411.0,.,-,.,ID=gene:TraesCS1A02G015100;biotype=protein_coding;gene_id=TraesCS1A02G015100;logic_name=iwgsc_high_conf
1A,IWGSC,gene,9543460.0,9548078.0,.,+,.,ID=gene:TraesCS1A02G018400;biotype=protein_coding;gene_id=TraesCS1A02G018400;logic_name=iwgsc_high_conf
1A,IWGSC,gene,9979714.0,9980736.0,.,+,.,ID=gene:TraesCS1A02G020000;biotype=protein_coding;gene_id=TraesCS1A02G020000;logic_name=iwgsc_high_conf
1A,IWGSC,gene,22633431.0,22634135.0,.,-,.,ID=gene:TraesCS1A02G041300;biotype=protein_coding;gene_id=TraesCS1A02G041300;logic_name=iwgsc_high_conf
1A,IWGSC,gene,22656561.0,22657221.0,.,-,.,ID=gene:TraesCS1A02G041400;biotype=protein_coding;gene_id=TraesCS1A02G041400;logic_name=iwgsc_high_conf
1A,IWGSC,gene,22657694.0,22657945.0,.,+,.,ID=gene:TraesCS1A02G041500;biotype=protein_coding;gene_id=TraesCS1A02G041500;logic_name=iwgsc_high_conf
1A,IWGSC,gene,22755453.0,22757185.0,.,+,.,ID=gene:TraesCS1A02G041700;biotype=protein_coding;gene_id=TraesCS1A02G041700;logic_name=iwgsc_high_conf
1A,IWGSC,gene,60954701.0,60956424.0,.,-,.,ID=gene:TraesCS1A02G078100;biotype=protein_coding;description=Peroxidase [Source:UniProtKB/TrEMBL%3BAcc:W4ZYP4];gene_id=TraesCS1A02G078100;logic_name=iwgsc_high_conf
1A,IWGSC,gene,88345837.0,88351710.0,.,+,.,ID=gene:TraesCS1A02G094200;biotype=protein_coding;description=Gelsolin family protein [Source: Projected from Oryza sativa (Os05g0153000)];gene_id=TraesCS1A02G094200;logic_name=iwgsc_high_conf
1A,IWGSC,gene,96449469.0,96451542.0,.,+,.,ID=gene:TraesCS1A02G100100;biotype=protein_coding;gene_id=TraesCS1A02G100100;logic_name=iwgsc_high_conf
1A,IWGSC,gene,177483605.0,177485389.0,.,+,.,ID=gene:TraesCS1A02G132000;biotype=protein_coding;gene_id=TraesCS1A02G132000;logic_name=iwgsc_high_conf
1A,IWGSC,gene,298557743.0,298566718.0,.,+,.,ID=gene:TraesCS1A02G165700;biotype=protein_coding;gene_id=TraesCS1A02G165700;logic_name=iwgsc_high_conf
1A,IWGSC,gene,320333954.0,320338598.0,.,+,.,ID=gene:TraesCS1A02G177500;biotype=protein_coding;gene_id=TraesCS1A02G177500;logic_name=iwgsc_high_conf
