seqid,source,type,start,end,score,strand,phase,attributes
1A,IWGSC,gene,1689351.0,1698842.0,.,-,.,ID=gene:TraesCS1A02G003100;biotype=protein_coding;gene_id=TraesCS1A02G003100;logic_name=iwgsc_high_conf
1A,IWGSC,gene,2540491.0,2540958.0,.,-,.,ID=gene:TraesCS1A02G004200;biotype=protein_coding;gene_id=TraesCS1A02G004200;logic_name=iwgsc_high_conf
1A,IWGSC,gene,6566139.0,6567972.0,.,+,.,ID=gene:TraesCS1A02G011100;biotype=protein_coding;gene_id=TraesCS1A02G011100;logic_name=iwgsc_high_conf
1A,IWGSC,gene,7811031.0,7813406.0,.,+,.,ID=gene:TraesCS1A02G014300;biotype=protein_coding;gene_id=TraesCS1A02G014300;logic_name=iwgsc_high_conf
1A,IWGSC,gene,8311562.0,8313243.0,.,+,.,ID=gene:TraesCS1A02G015700;biotype=protein_coding;description=12-oxophytodienoic acid reductase 1-A2a [Source:UniProtKB/TrEMBL%3BAcc:R9UC19];gene_id=TraesCS1A02G015700;logic_name=iwgsc_high_conf
1A,IWGSC,gene,9355372.0,9357968.0,.,-,.,ID=gene:TraesCS1A02G017900;biotype=protein_coding;gene_id=TraesCS1A02G017900;logic_name=iwgsc_high_conf
1A,IWGSC,gene,9476119.0,9477343.0,.,+,.,ID=gene:TraesCS1A02G018300;biotype=protein_coding;description=Dirigent protein [Source:UniProtKB/TrEMBL%3BAcc:A0A341NHL5];gene_id=TraesCS1A02G018300;logic_name=iwgsc_high_conf
1A,IWGSC,gene,12303354.0,12311465.0,.,-,.,ID=gene:TraesCS1A02G025600;biotype=protein_coding;gene_id=TraesCS1A02G025600;logic_name=iwgsc_high_conf
1A,IWGSC,gene,13346605.0,13352572.0,.,+,.,ID=gene:TraesCS1A02G028500;biotype=protein_coding;gene_id=TraesCS1A02G028500;logic_name=iwgsc_high_conf
1A,IWGSC,gene,17246750.0,17248420.0,.,-,.,ID=gene:TraesCS1A02G034600;biotype=protein_coding;gene_id=TraesCS1A02G034600;logic_name=iwgsc_high_conf
1A,IWGSC,gene,21985330.0,21987056.0,.,-,.,ID=gene:TraesCS1A02G039800;biotype=protein_coding;description=3-ketoacyl-CoA synthase [Source:UniProtKB/TrEMBL%3BAcc:A0A1D5S3Z4];gene_id=TraesCS1A02G039800;logic_name=iwgsc_high_conf
1A,IWGSC,gene,35528837.0,35532835.0,.,+,.,ID=gene:TraesCS1A02G053600;biotype=protein_coding;gene_id=TraesCS1A02G053600;logic_name=iwgsc_high_conf
1A,IWGSC,gene,54015302.0,54019064.0,.,-,.,ID=gene:TraesCS1A02G071657;biotype=protein_coding;gene_id=TraesCS1A02G071657;logic_name=iwgsc_high_conf
1A,IWGSC,gene,78953260.0,78956060.0,.,+,.,ID=gene:TraesCS1A02G089400;biotype=protein_coding;gene_id=TraesCS1A02G089400;logic_name=iwgsc_high_conf
1A,IWGSC,gene,91410869.0,91414181.0,.,-,.,ID=gene:TraesCS1A02G095800;biotype=protein_coding;gene_id=TraesCS1A02G095800;logic_name=iwgsc_high_conf
1A,IWGSC,gene,97643035.0,97647138.0,.,-,.,ID=gene:TraesCS1A02G101000;biotype=protein_coding;gene_id=TraesCS1A02G101000;logic_name=iwgsc_high_conf
1A,IWGSC,gene,97935425.0,97941195.0,.,-,.,ID=gene:TraesCS1A02G101500;biotype=protein_coding;gene_id=TraesCS1A02G101500;logic_name=iwgsc_high_conf
1A,IWGSC,gene,97952310.0,97954682.0,.,-,.,ID=gene:TraesCS1A02G101600;biotype=protein_coding;gene_id=TraesCS1A02G101600;logic_name=iwgsc_high_conf
1A,IWGSC,gene,97954954.0,97957149.0,.,-,.,ID=gene:TraesCS1A02G101700;biotype=protein_coding;gene_id=TraesCS1A02G101700;logic_name=iwgsc_high_conf
1A,IWGSC,gene,105885703.0,105887086.0,.,-,.,ID=gene:TraesCS1A02G107500;biotype=protein_coding;description=Fasciclin-like protein FLA16 [Source:UniProtKB/TrEMBL%3BAcc:Q06I90];gene_id=TraesCS1A02G107500;logic_name=iwgsc_high_conf
1A,IWGSC,gene,118809204.0,118815557.0,.,+,.,ID=gene:TraesCS1A02G114600;biotype=protein_coding;gene_id=TraesCS1A02G114600;logic_name=iwgsc_high_conf
