seqid,source,type,start,end,score,strand,phase,attributes
1A,IWGSC,gene,6566139.0,6567972.0,.,+,.,ID=gene:TraesCS1A02G011100;biotype=protein_coding;gene_id=TraesCS1A02G011100;logic_name=iwgsc_high_conf
1A,IWGSC,gene,22816707.0,22818738.0,.,-,.,ID=gene:TraesCS1A02G042100;biotype=protein_coding;gene_id=TraesCS1A02G042100;logic_name=iwgsc_high_conf
1A,IWGSC,gene,54008577.0,54009363.0,.,-,.,ID=gene:TraesCS1A02G071600;biotype=protein_coding;gene_id=TraesCS1A02G071600;logic_name=iwgsc_high_conf
1A,IWGSC,gene,54015302.0,54019064.0,.,-,.,ID=gene:TraesCS1A02G071657;biotype=protein_coding;gene_id=TraesCS1A02G071657;logic_name=iwgsc_high_conf
1A,IWGSC,gene,59507512.0,59510257.0,.,-,.,ID=gene:TraesCS1A02G076700;biotype=protein_coding;gene_id=TraesCS1A02G076700;logic_name=iwgsc_high_conf
1A,IWGSC,gene,78953260.0,78956060.0,.,+,.,ID=gene:TraesCS1A02G089400;biotype=protein_coding;gene_id=TraesCS1A02G089400;logic_name=iwgsc_high_conf
1A,IWGSC,gene,91410869.0,91414181.0,.,-,.,ID=gene:TraesCS1A02G095800;biotype=protein_coding;gene_id=TraesCS1A02G095800;logic_name=iwgsc_high_conf
1A,IWGSC,gene,97643035.0,97647138.0,.,-,.,ID=gene:TraesCS1A02G101000;biotype=protein_coding;gene_id=TraesCS1A02G101000;logic_name=iwgsc_high_conf
1A,IWGSC,gene,97935425.0,97941195.0,.,-,.,ID=gene:TraesCS1A02G101500;biotype=protein_coding;gene_id=TraesCS1A02G101500;logic_name=iwgsc_high_conf
1A,IWGSC,gene,97952310.0,97954682.0,.,-,.,ID=gene:TraesCS1A02G101600;biotype=protein_coding;gene_id=TraesCS1A02G101600;logic_name=iwgsc_high_conf
1A,IWGSC,gene,105885703.0,105887086.0,.,-,.,ID=gene:TraesCS1A02G107500;biotype=protein_coding;description=Fasciclin-like protein FLA16 [Source:UniProtKB/TrEMBL%3BAcc:Q06I90];gene_id=TraesCS1A02G107500;logic_name=iwgsc_high_conf
1A,IWGSC,gene,118809204.0,118815557.0,.,+,.,ID=gene:TraesCS1A02G114600;biotype=protein_coding;gene_id=TraesCS1A02G114600;logic_name=iwgsc_high_conf
1A,IWGSC,gene,212021777.0,212025958.0,.,-,.,ID=gene:TraesCS1A02G136000;biotype=protein_coding;gene_id=TraesCS1A02G136000;logic_name=iwgsc_high_conf
1A,IWGSC,gene,284902269.0,284905891.0,.,-,.,ID=gene:TraesCS1A02G159200;biotype=protein_coding;gene_id=TraesCS1A02G159200;logic_name=iwgsc_high_conf
1A,IWGSC,gene,338593153.0,338597314.0,.,-,.,ID=gene:TraesCS1A02G187600;biotype=protein_coding;gene_id=TraesCS1A02G187600;logic_name=iwgsc_high_conf
1A,IWGSC,gene,343395336.0,343397180.0,.,-,.,ID=gene:TraesCS1A02G189700;biotype=protein_coding;gene_id=TraesCS1A02G189700;logic_name=iwgsc_high_conf
1A,IWGSC,gene,363690449.0,363695876.0,.,+,.,ID=gene:TraesCS1A02G202700;biotype=protein_coding;gene_id=TraesCS1A02G202700;logic_name=iwgsc_high_conf
1A,IWGSC,gene,375014696.0,375016345.0,.,-,.,ID=gene:TraesCS1A02G212300;biotype=protein_coding;gene_id=TraesCS1A02G212300;logic_name=iwgsc_high_conf
1A,IWGSC,gene,452051195.0,452052750.0,.,+,.,ID=gene:TraesCS1A02G259100;biotype=protein_coding;gene_id=TraesCS1A02G259100;logic_name=iwgsc_high_conf
1A,IWGSC,gene,463923731.0,463928925.0,.,-,.,ID=gene:TraesCS1A02G269400;biotype=protein_coding;gene_id=TraesCS1A02G269400;logic_name=iwgsc_high_conf
1A,IWGSC,gene,488619059.0,488620361.0,.,+,.,ID=gene:TraesCS1A02G293400;biotype=protein_coding;gene_id=TraesCS1A02G293400;logic_name=iwgsc_high_conf
1A,IWGSC,gene,519848872.0,519850542.0,.,+,.,ID=gene:TraesCS1A02G330800;biotype=protein_coding;gene_id=TraesCS1A02G330800;logic_name=iwgsc_high_conf
1A,IWGSC,gene,536660906.0,536664606.0,.,-,.,ID=gene:TraesCS1A02G352700;biotype=protein_coding;gene_id=TraesCS1A02G352700;logic_name=iwgsc_high_conf
1A,IWGSC,gene,550109457.0,550111705.0,.,+,.,ID=gene:TraesCS1A02G375200;biotype=protein_coding;gene_id=TraesCS1A02G375200;logic_name=iwgsc_high_conf
1A,IWGSC,gene,554061310.0,554063347.0,.,+,.,ID=gene:TraesCS1A02G383500;biotype=protein_coding;gene_id=TraesCS1A02G383500;logic_name=iwgsc_high_conf
1A,IWGSC,gene,554102512.0,554106196.0,.,+,.,ID=gene:TraesCS1A02G383900;biotype=protein_coding;gene_id=TraesCS1A02G383900;logic_name=iwgsc_high_conf
1A,IWGSC,gene,555512819.0,555513577.0,.,+,.,ID=gene:TraesCS1A02G385900;biotype=protein_coding;gene_id=TraesCS1A02G385900;logic_name=iwgsc_high_conf
1A,IWGSC,gene,561496766.0,561497723.0,.,+,.,ID=gene:TraesCS1A02G395800;biotype=protein_coding;gene_id=TraesCS1A02G395800;logic_name=iwgsc_high_conf
1A,IWGSC,gene,570153572.0,570155654.0,.,-,.,ID=gene:TraesCS1A02G407800;biotype=protein_coding;description=Patatin [Source:UniProtKB/TrEMBL%3BAcc:W4ZQZ0];gene_id=TraesCS1A02G407800;logic_name=iwgsc_high_conf
1A,IWGSC,gene,572883079.0,572883515.0,.,-,.,ID=gene:TraesCS1A02G412600;biotype=protein_coding;gene_id=TraesCS1A02G412600;logic_name=iwgsc_high_conf
1A,IWGSC,gene,580739950.0,580743663.0,.,-,.,ID=gene:TraesCS1A02G426000;biotype=protein_coding;gene_id=TraesCS1A02G426000;logic_name=iwgsc_high_conf
