seqid,source,type,start,end,score,strand,phase,attributes
1A,IWGSC,gene,2978903.0,2981121.0,.,-,.,ID=gene:TraesCS1A02G005100;biotype=protein_coding;gene_id=TraesCS1A02G005100;logic_name=iwgsc_high_conf
1A,IWGSC,gene,5491027.0,5495112.0,.,+,.,ID=gene:TraesCS1A02G009000;biotype=protein_coding;gene_id=TraesCS1A02G009000;logic_name=iwgsc_high_conf
1A,IWGSC,gene,5501535.0,5507742.0,.,-,.,ID=gene:TraesCS1A02G009300;biotype=protein_coding;gene_id=TraesCS1A02G009300;logic_name=iwgsc_high_conf
1A,IWGSC,gene,5521573.0,5527792.0,.,-,.,ID=gene:TraesCS1A02G009320;biotype=protein_coding;gene_id=TraesCS1A02G009320;logic_name=iwgsc_high_conf
1A,IWGSC,gene,5645211.0,5650510.0,.,-,.,ID=gene:TraesCS1A02G009400;biotype=protein_coding;gene_id=TraesCS1A02G009400;logic_name=iwgsc_high_conf
1A,IWGSC,gene,6007940.0,6012646.0,.,-,.,ID=gene:TraesCS1A02G009600;biotype=protein_coding;gene_id=TraesCS1A02G009600;logic_name=iwgsc_high_conf
1A,IWGSC,gene,6151748.0,6159140.0,.,+,.,ID=gene:TraesCS1A02G009900;Name=Yr10;biotype=protein_coding;gene_id=TraesCS1A02G009900;logic_name=iwgsc_high_conf
1A,IWGSC,gene,6317837.0,6324253.0,.,+,.,ID=gene:TraesCS1A02G010200;biotype=protein_coding;gene_id=TraesCS1A02G010200;logic_name=iwgsc_high_conf
1A,IWGSC,gene,6332192.0,6336859.0,.,+,.,ID=gene:TraesCS1A02G010300;biotype=protein_coding;gene_id=TraesCS1A02G010300;logic_name=iwgsc_high_conf
1A,IWGSC,gene,6336481.0,6345966.0,.,-,.,ID=gene:TraesCS1A02G010400;biotype=protein_coding;gene_id=TraesCS1A02G010400;logic_name=iwgsc_high_conf
1A,IWGSC,gene,6765240.0,6765452.0,.,-,.,ID=gene:TraesCS1A02G011500;biotype=protein_coding;gene_id=TraesCS1A02G011500;logic_name=iwgsc_high_conf
1A,IWGSC,gene,6788571.0,6793542.0,.,+,.,ID=gene:TraesCS1A02G011800;biotype=protein_coding;description=Formin-like protein [Source:UniProtKB/TrEMBL%3BAcc:A0A341NHE5];gene_id=TraesCS1A02G011800;logic_name=iwgsc_high_conf
1A,IWGSC,gene,7100687.0,7101431.0,.,-,.,ID=gene:TraesCS1A02G012200;biotype=protein_coding;gene_id=TraesCS1A02G012200;logic_name=iwgsc_high_conf
1A,IWGSC,gene,7109888.0,7115465.0,.,-,.,ID=gene:TraesCS1A02G012400;biotype=protein_coding;gene_id=TraesCS1A02G012400;logic_name=iwgsc_high_conf
1A,IWGSC,gene,10132632.0,10133075.0,.,+,.,ID=gene:TraesCS1A02G020900;biotype=protein_coding;gene_id=TraesCS1A02G020900;logic_name=iwgsc_high_conf
1A,IWGSC,gene,10150818.0,10152476.0,.,+,.,ID=gene:TraesCS1A02G021100;biotype=protein_coding;gene_id=TraesCS1A02G021100;logic_name=iwgsc_high_conf
1A,IWGSC,gene,10602386.0,10607440.0,.,-,.,ID=gene:TraesCS1A02G022000;biotype=protein_coding;gene_id=TraesCS1A02G022000;logic_name=iwgsc_high_conf
1A,IWGSC,gene,12002939.0,12006839.0,.,-,.,ID=gene:TraesCS1A02G024400;biotype=protein_coding;gene_id=TraesCS1A02G024400;logic_name=iwgsc_high_conf
1A,IWGSC,gene,12585035.0,12592665.0,.,-,.,ID=gene:TraesCS1A02G026400;biotype=protein_coding;gene_id=TraesCS1A02G026400;logic_name=iwgsc_high_conf
1A,IWGSC,gene,13452339.0,13458303.0,.,+,.,ID=gene:TraesCS1A02G028700;biotype=protein_coding;gene_id=TraesCS1A02G028700;logic_name=iwgsc_high_conf
1A,IWGSC,gene,13569534.0,13575431.0,.,+,.,ID=gene:TraesCS1A02G028900;biotype=protein_coding;gene_id=TraesCS1A02G028900;logic_name=iwgsc_high_conf
1A,IWGSC,gene,13979250.0,13980335.0,.,+,.,ID=gene:TraesCS1A02G030000;biotype=protein_coding;gene_id=TraesCS1A02G030000;logic_name=iwgsc_high_conf
