seqid,source,type,start,end,score,strand,phase,attributes
1A,IWGSC,gene,1144333.0,1145934.0,.,+,.,ID=gene:TraesCS1A02G001800;biotype=protein_coding;gene_id=TraesCS1A02G001800;logic_name=iwgsc_high_conf
1A,IWGSC,gene,1159194.0,1162830.0,.,-,.,ID=gene:TraesCS1A02G001900;biotype=protein_coding;gene_id=TraesCS1A02G001900;logic_name=iwgsc_high_conf
1A,IWGSC,gene,1163485.0,1167878.0,.,-,.,ID=gene:TraesCS1A02G002000;biotype=protein_coding;description=E3 ubiquitin-protein ligase SIS3 [Source:Projected from Arabidopsis thaliana (AT3G47990) UniProtKB/Swiss-Prot%3BAcc:Q8GYT9];gene_id=TraesCS1A02G002000;logic_name=iwgsc_high_conf
1A,IWGSC,gene,1170356.0,1177383.0,.,+,.,ID=gene:TraesCS1A02G002100;biotype=protein_coding;gene_id=TraesCS1A02G002100;logic_name=iwgsc_high_conf
1A,IWGSC,gene,1188844.0,1190864.0,.,+,.,ID=gene:TraesCS1A02G002200;biotype=protein_coding;gene_id=TraesCS1A02G002200;logic_name=iwgsc_high_conf
1A,IWGSC,gene,1209721.0,1212812.0,.,-,.,ID=gene:TraesCS1A02G002300;biotype=protein_coding;gene_id=TraesCS1A02G002300;logic_name=iwgsc_high_conf
1A,IWGSC,gene,1232354.0,1238469.0,.,-,.,ID=gene:TraesCS1A02G002500;biotype=protein_coding;description=Phospholipid-transporting ATPase [Source:UniProtKB/TrEMBL%3BAcc:A0A1D5S510];gene_id=TraesCS1A02G002500;logic_name=iwgsc_high_conf
1A,IWGSC,gene,1336841.0,1348326.0,.,-,.,ID=gene:TraesCS1A02G002700;biotype=protein_coding;gene_id=TraesCS1A02G002700;logic_name=iwgsc_high_conf
1A,IWGSC,gene,2540491.0,2540958.0,.,-,.,ID=gene:TraesCS1A02G004200;biotype=protein_coding;gene_id=TraesCS1A02G004200;logic_name=iwgsc_high_conf
1A,IWGSC,gene,2978903.0,2981121.0,.,-,.,ID=gene:TraesCS1A02G005100;biotype=protein_coding;gene_id=TraesCS1A02G005100;logic_name=iwgsc_high_conf
1A,IWGSC,gene,3119378.0,3122276.0,.,-,.,ID=gene:TraesCS1A02G005500;biotype=protein_coding;gene_id=TraesCS1A02G005500;logic_name=iwgsc_high_conf
1A,IWGSC,gene,3255618.0,3262577.0,.,-,.,ID=gene:TraesCS1A02G005600;biotype=protein_coding;gene_id=TraesCS1A02G005600;logic_name=iwgsc_high_conf
1A,IWGSC,gene,3377838.0,3383699.0,.,+,.,ID=gene:TraesCS1A02G005700;biotype=protein_coding;gene_id=TraesCS1A02G005700;logic_name=iwgsc_high_conf
1A,IWGSC,gene,3386287.0,3391808.0,.,-,.,ID=gene:TraesCS1A02G005800;biotype=protein_coding;gene_id=TraesCS1A02G005800;logic_name=iwgsc_high_conf
1A,IWGSC,gene,3446931.0,3450200.0,.,+,.,ID=gene:TraesCS1A02G005900;biotype=protein_coding;gene_id=TraesCS1A02G005900;logic_name=iwgsc_high_conf
1A,IWGSC,gene,4045713.0,4048684.0,.,+,.,ID=gene:TraesCS1A02G007500;biotype=protein_coding;description=Peptidyl-prolyl cis-trans isomerase [Source:UniProtKB/TrEMBL%3BAcc:W4ZWP2];gene_id=TraesCS1A02G007500;logic_name=iwgsc_high_conf
1A,IWGSC,gene,4063197.0,4063406.0,.,+,.,ID=gene:TraesCS1A02G007900;biotype=protein_coding;gene_id=TraesCS1A02G007900;logic_name=iwgsc_high_conf
1A,IWGSC,gene,5491027.0,5495112.0,.,+,.,ID=gene:TraesCS1A02G009000;biotype=protein_coding;gene_id=TraesCS1A02G009000;logic_name=iwgsc_high_conf
1A,IWGSC,gene,5501535.0,5507742.0,.,-,.,ID=gene:TraesCS1A02G009300;biotype=protein_coding;gene_id=TraesCS1A02G009300;logic_name=iwgsc_high_conf
1A,IWGSC,gene,5521573.0,5527792.0,.,-,.,ID=gene:TraesCS1A02G009320;biotype=protein_coding;gene_id=TraesCS1A02G009320;logic_name=iwgsc_high_conf
1A,IWGSC,gene,5645211.0,5650510.0,.,-,.,ID=gene:TraesCS1A02G009400;biotype=protein_coding;gene_id=TraesCS1A02G009400;logic_name=iwgsc_high_conf
1A,IWGSC,gene,6007940.0,6012646.0,.,-,.,ID=gene:TraesCS1A02G009600;biotype=protein_coding;gene_id=TraesCS1A02G009600;logic_name=iwgsc_high_conf
1A,IWGSC,gene,6151748.0,6159140.0,.,+,.,ID=gene:TraesCS1A02G009900;Name=Yr10;biotype=protein_coding;gene_id=TraesCS1A02G009900;logic_name=iwgsc_high_conf
1A,IWGSC,gene,6332192.0,6336859.0,.,+,.,ID=gene:TraesCS1A02G010300;biotype=protein_coding;gene_id=TraesCS1A02G010300;logic_name=iwgsc_high_conf
1A,IWGSC,gene,6336481.0,6345966.0,.,-,.,ID=gene:TraesCS1A02G010400;biotype=protein_coding;gene_id=TraesCS1A02G010400;logic_name=iwgsc_high_conf
1A,IWGSC,gene,6765240.0,6765452.0,.,-,.,ID=gene:TraesCS1A02G011500;biotype=protein_coding;gene_id=TraesCS1A02G011500;logic_name=iwgsc_high_conf
1A,IWGSC,gene,6788571.0,6793542.0,.,+,.,ID=gene:TraesCS1A02G011800;biotype=protein_coding;description=Formin-like protein [Source:UniProtKB/TrEMBL%3BAcc:A0A341NHE5];gene_id=TraesCS1A02G011800;logic_name=iwgsc_high_conf
1A,IWGSC,gene,7100687.0,7101431.0,.,-,.,ID=gene:TraesCS1A02G012200;biotype=protein_coding;gene_id=TraesCS1A02G012200;logic_name=iwgsc_high_conf
1A,IWGSC,gene,7109888.0,7115465.0,.,-,.,ID=gene:TraesCS1A02G012400;biotype=protein_coding;gene_id=TraesCS1A02G012400;logic_name=iwgsc_high_conf
1A,IWGSC,gene,7178200.0,7184960.0,.,+,.,ID=gene:TraesCS1A02G012500;biotype=protein_coding;description=Vacuolar sorting protein 39 [Source:Projected from Arabidopsis thaliana (AT1G22860) TAIR%3BAcc:AT1G22860];gene_id=TraesCS1A02G012500;logic_name=iwgsc_high_conf
1A,IWGSC,gene,7315101.0,7325769.0,.,+,.,ID=gene:TraesCS1A02G013200;biotype=protein_coding;gene_id=TraesCS1A02G013200;logic_name=iwgsc_high_conf
1A,IWGSC,gene,7536155.0,7536445.0,.,+,.,ID=gene:TraesCS1A02G013500;biotype=protein_coding;gene_id=TraesCS1A02G013500;logic_name=iwgsc_high_conf
1A,IWGSC,gene,7657145.0,7669998.0,.,-,.,ID=gene:TraesCS1A02G013800;biotype=protein_coding;description=Methionine S-methyltransferase [Source:UniProtKB/TrEMBL%3BAcc:A0A341NG51];gene_id=TraesCS1A02G013800;logic_name=iwgsc_high_conf
1A,IWGSC,gene,8238257.0,8239411.0,.,-,.,ID=gene:TraesCS1A02G015100;biotype=protein_coding;gene_id=TraesCS1A02G015100;logic_name=iwgsc_high_conf
1A,IWGSC,gene,8239469.0,8244826.0,.,-,.,ID=gene:TraesCS1A02G015200;biotype=protein_coding;description=Tubulin-folding cofactor E [Source:Projected from Arabidopsis thaliana (AT1G71440) UniProtKB/Swiss-Prot%3BAcc:Q8GRL7];gene_id=TraesCS1A02G015200;logic_name=iwgsc_high_conf
