seqid,source,type,start,end,score,strand,phase,attributes
1A,IWGSC,gene,13346605.0,13352572.0,.,+,.,ID=gene:TraesCS1A02G028500;biotype=protein_coding;gene_id=TraesCS1A02G028500;logic_name=iwgsc_high_conf
1A,IWGSC,gene,53436194.0,53438543.0,.,+,.,ID=gene:TraesCS1A02G070500;biotype=protein_coding;gene_id=TraesCS1A02G070500;logic_name=iwgsc_high_conf
1A,IWGSC,gene,257987100.0,257987438.0,.,+,.,ID=gene:TraesCS1A02G150300;biotype=protein_coding;gene_id=TraesCS1A02G150300;logic_name=iwgsc_high_conf
1A,IWGSC,gene,259994475.0,259997900.0,.,-,.,ID=gene:TraesCS1A02G151400;biotype=protein_coding;description=Cyclin-dependent kinase inhibitor [Source:UniProtKB/TrEMBL%3BAcc:W4ZSJ3];gene_id=TraesCS1A02G151400;logic_name=iwgsc_high_conf
1A,IWGSC,gene,286915745.0,286916579.0,.,+,.,ID=gene:TraesCS1A02G159700;biotype=protein_coding;gene_id=TraesCS1A02G159700;logic_name=iwgsc_high_conf
1A,IWGSC,gene,338593153.0,338597314.0,.,-,.,ID=gene:TraesCS1A02G187600;biotype=protein_coding;gene_id=TraesCS1A02G187600;logic_name=iwgsc_high_conf
1A,IWGSC,gene,363690449.0,363695876.0,.,+,.,ID=gene:TraesCS1A02G202700;biotype=protein_coding;gene_id=TraesCS1A02G202700;logic_name=iwgsc_high_conf
1A,IWGSC,gene,399825242.0,399826597.0,.,-,.,ID=gene:TraesCS1A02G228500;biotype=protein_coding;gene_id=TraesCS1A02G228500;logic_name=iwgsc_high_conf
1A,IWGSC,gene,420379852.0,420382755.0,.,+,.,ID=gene:TraesCS1A02G237000;biotype=protein_coding;gene_id=TraesCS1A02G237000;logic_name=iwgsc_high_conf
1A,IWGSC,gene,429485586.0,429498612.0,.,-,.,ID=gene:TraesCS1A02G241600;biotype=protein_coding;gene_id=TraesCS1A02G241600;logic_name=iwgsc_high_conf
1A,IWGSC,gene,486954012.0,486956900.0,.,-,.,ID=gene:TraesCS1A02G290300;biotype=protein_coding;gene_id=TraesCS1A02G290300;logic_name=iwgsc_high_conf
1A,IWGSC,gene,488619059.0,488620361.0,.,+,.,ID=gene:TraesCS1A02G293400;biotype=protein_coding;gene_id=TraesCS1A02G293400;logic_name=iwgsc_high_conf
1A,IWGSC,gene,508627551.0,508633273.0,.,+,.,ID=gene:TraesCS1A02G317100;biotype=protein_coding;description=Histone deacetylase [Source:UniProtKB/TrEMBL%3BAcc:A0A341NRT9];gene_id=TraesCS1A02G317100;logic_name=iwgsc_high_conf
1A,IWGSC,gene,515147816.0,515150042.0,.,-,.,ID=gene:TraesCS1A02G324600;biotype=protein_coding;gene_id=TraesCS1A02G324600;logic_name=iwgsc_high_conf
1A,IWGSC,gene,517186972.0,517187646.0,.,-,.,ID=gene:TraesCS1A02G327900;biotype=protein_coding;gene_id=TraesCS1A02G327900;logic_name=iwgsc_high_conf
1A,IWGSC,gene,536660906.0,536664606.0,.,-,.,ID=gene:TraesCS1A02G352700;biotype=protein_coding;gene_id=TraesCS1A02G352700;logic_name=iwgsc_high_conf
1A,IWGSC,gene,541460217.0,541460850.0,.,-,.,ID=gene:TraesCS1A02G360100;biotype=protein_coding;description=Histone H4 [Source:UniProtKB/TrEMBL%3BAcc:A0A077RYQ1];gene_id=TraesCS1A02G360100;logic_name=iwgsc_high_conf
1A,IWGSC,gene,545416981.0,545418748.0,.,-,.,ID=gene:TraesCS1A02G366500;biotype=protein_coding;gene_id=TraesCS1A02G366500;logic_name=iwgsc_high_conf
1A,IWGSC,gene,550109457.0,550111705.0,.,+,.,ID=gene:TraesCS1A02G375200;biotype=protein_coding;gene_id=TraesCS1A02G375200;logic_name=iwgsc_high_conf
1A,IWGSC,gene,554061310.0,554063347.0,.,+,.,ID=gene:TraesCS1A02G383500;biotype=protein_coding;gene_id=TraesCS1A02G383500;logic_name=iwgsc_high_conf
1A,IWGSC,gene,554102512.0,554106196.0,.,+,.,ID=gene:TraesCS1A02G383900;biotype=protein_coding;gene_id=TraesCS1A02G383900;logic_name=iwgsc_high_conf
1A,IWGSC,gene,555512819.0,555513577.0,.,+,.,ID=gene:TraesCS1A02G385900;biotype=protein_coding;gene_id=TraesCS1A02G385900;logic_name=iwgsc_high_conf
1A,IWGSC,gene,564758787.0,564761591.0,.,+,.,ID=gene:TraesCS1A02G401400;biotype=protein_coding;gene_id=TraesCS1A02G401400;logic_name=iwgsc_high_conf
1A,IWGSC,gene,570153572.0,570155654.0,.,-,.,ID=gene:TraesCS1A02G407800;biotype=protein_coding;description=Patatin [Source:UniProtKB/TrEMBL%3BAcc:W4ZQZ0];gene_id=TraesCS1A02G407800;logic_name=iwgsc_high_conf
1A,IWGSC,gene,570425616.0,570427442.0,.,-,.,ID=gene:TraesCS1A02G408700;biotype=protein_coding;gene_id=TraesCS1A02G408700;logic_name=iwgsc_high_conf
1A,IWGSC,gene,570806323.0,570809588.0,.,+,.,ID=gene:TraesCS1A02G409000;biotype=protein_coding;gene_id=TraesCS1A02G409000;logic_name=iwgsc_high_conf
1A,IWGSC,gene,573925775.0,573927514.0,.,-,.,ID=gene:TraesCS1A02G414500;biotype=protein_coding;gene_id=TraesCS1A02G414500;logic_name=iwgsc_high_conf
1A,IWGSC,gene,579171915.0,579173746.0,.,+,.,ID=gene:TraesCS1A02G424100;biotype=protein_coding;gene_id=TraesCS1A02G424100;logic_name=iwgsc_high_conf
1A,IWGSC,gene,580739950.0,580743663.0,.,-,.,ID=gene:TraesCS1A02G426000;biotype=protein_coding;gene_id=TraesCS1A02G426000;logic_name=iwgsc_high_conf
1A,IWGSC,gene,584083815.0,584086467.0,.,+,.,ID=gene:TraesCS1A02G432200;biotype=protein_coding;gene_id=TraesCS1A02G432200;logic_name=iwgsc_high_conf
1A,IWGSC,gene,584970458.0,584972374.0,.,+,.,ID=gene:TraesCS1A02G434400;biotype=protein_coding;gene_id=TraesCS1A02G434400;logic_name=iwgsc_high_conf
1A,IWGSC,gene,586512310.0,586512804.0,.,+,.,ID=gene:TraesCS1A02G436100;biotype=protein_coding;gene_id=TraesCS1A02G436100;logic_name=iwgsc_high_conf
1A,IWGSC,gene,586516495.0,586519878.0,.,-,.,ID=gene:TraesCS1A02G436200;biotype=protein_coding;gene_id=TraesCS1A02G436200;logic_name=iwgsc_high_conf
1A,IWGSC,gene,586912538.0,586916052.0,.,+,.,ID=gene:TraesCS1A02G436900;biotype=protein_coding;gene_id=TraesCS1A02G436900;logic_name=iwgsc_high_conf
1A,IWGSC,gene,590342119.0,590348478.0,.,-,.,ID=gene:TraesCS1A02G441600;biotype=protein_coding;gene_id=TraesCS1A02G441600;logic_name=iwgsc_high_conf
1A,IWGSC,gene,590546517.0,590553218.0,.,+,.,ID=gene:TraesCS1A02G441800;biotype=protein_coding;gene_id=TraesCS1A02G441800;logic_name=iwgsc_high_conf
1A,IWGSC,gene,593279894.0,593287280.0,.,+,.,ID=gene:TraesCS1A02G445500;biotype=protein_coding;gene_id=TraesCS1A02G445500;logic_name=iwgsc_high_conf
1B,IWGSC,gene,4097642.0,4099049.0,.,+,.,ID=gene:TraesCS1B02G007100;biotype=protein_coding;gene_id=TraesCS1B02G007100;logic_name=iwgsc_high_conf
1B,IWGSC,gene,4143562.0,4146861.0,.,+,.,ID=gene:TraesCS1B02G007300;biotype=protein_coding;gene_id=TraesCS1B02G007300;logic_name=iwgsc_high_conf
1B,IWGSC,gene,4222340.0,4225375.0,.,-,.,ID=gene:TraesCS1B02G007700;biotype=protein_coding;gene_id=TraesCS1B02G007700;logic_name=iwgsc_high_conf
1B,IWGSC,gene,4516817.0,4520149.0,.,-,.,ID=gene:TraesCS1B02G008600;biotype=protein_coding;gene_id=TraesCS1B02G008600;logic_name=iwgsc_high_conf
1B,IWGSC,gene,4539577.0,4543678.0,.,-,.,ID=gene:TraesCS1B02G008900;biotype=protein_coding;gene_id=TraesCS1B02G008900;logic_name=iwgsc_high_conf
1B,IWGSC,gene,5509787.0,5510370.0,.,+,.,ID=gene:TraesCS1B02G011500;biotype=protein_coding;gene_id=TraesCS1B02G011500;logic_name=iwgsc_high_conf
1B,IWGSC,gene,6485068.0,6487122.0,.,-,.,ID=gene:TraesCS1B02G014100;biotype=protein_coding;gene_id=TraesCS1B02G014100;logic_name=iwgsc_high_conf
1B,IWGSC,gene,10014740.0,10016665.0,.,+,.,ID=gene:TraesCS1B02G022100;biotype=protein_coding;gene_id=TraesCS1B02G022100;logic_name=iwgsc_high_conf
1B,IWGSC,gene,10203991.0,10206698.0,.,-,.,ID=gene:TraesCS1B02G022900;biotype=protein_coding;gene_id=TraesCS1B02G022900;logic_name=iwgsc_high_conf
1B,IWGSC,gene,10359349.0,10368286.0,.,-,.,ID=gene:TraesCS1B02G023000;biotype=protein_coding;gene_id=TraesCS1B02G023000;logic_name=iwgsc_high_conf
1B,IWGSC,gene,11177447.0,11182638.0,.,-,.,ID=gene:TraesCS1B02G023800;biotype=protein_coding;gene_id=TraesCS1B02G023800;logic_name=iwgsc_high_conf
1B,IWGSC,gene,11860454.0,11863102.0,.,-,.,ID=gene:TraesCS1B02G024600;biotype=protein_coding;gene_id=TraesCS1B02G024600;logic_name=iwgsc_high_conf
1B,IWGSC,gene,16426498.0,16428373.0,.,-,.,ID=gene:TraesCS1B02G033700;biotype=protein_coding;gene_id=TraesCS1B02G033700;logic_name=iwgsc_high_conf
1B,IWGSC,gene,16518247.0,16523333.0,.,+,.,ID=gene:TraesCS1B02G034500;biotype=protein_coding;gene_id=TraesCS1B02G034500;logic_name=iwgsc_high_conf
1B,IWGSC,gene,16925435.0,16931837.0,.,+,.,ID=gene:TraesCS1B02G035600;biotype=protein_coding;gene_id=TraesCS1B02G035600;logic_name=iwgsc_high_conf
1B,IWGSC,gene,17884038.0,17886088.0,.,-,.,ID=gene:TraesCS1B02G038000;biotype=protein_coding;gene_id=TraesCS1B02G038000;logic_name=iwgsc_high_conf
1B,IWGSC,gene,17889740.0,17892524.0,.,+,.,ID=gene:TraesCS1B02G038100;biotype=protein_coding;gene_id=TraesCS1B02G038100;logic_name=iwgsc_high_conf
1B,IWGSC,gene,17963320.0,17966241.0,.,-,.,ID=gene:TraesCS1B02G038300;biotype=protein_coding;gene_id=TraesCS1B02G038300;logic_name=iwgsc_high_conf
1B,IWGSC,gene,18385559.0,18387800.0,.,-,.,ID=gene:TraesCS1B02G038700;biotype=protein_coding;description=Protein NRT1/ PTR FAMILY 6.2 [Source:Projected from Arabidopsis thaliana (AT2G26690) UniProtKB/Swiss-Prot%3BAcc:Q9SZY4];gene_id=TraesCS1B02G038700;logic_name=iwgsc_high_conf
1B,IWGSC,gene,18419377.0,18423130.0,.,-,.,ID=gene:TraesCS1B02G038800;biotype=protein_coding;gene_id=TraesCS1B02G038800;logic_name=iwgsc_high_conf
